id,category,fault_name,keywords,symptoms,safe_action,price_min,price_max,urgency,warning
elec_011,Sửa điện,Lắp đèn mới / Đèn ốp trần,"lắp đèn,đèn ốp trần,đèn downlight,đèn led mới,thay đèn","Cần lắp thêm đèn mới hoặc thay thế đèn cũ hỏng trên trần nhà","Ngắt điện khu vực trước khi lắp đèn mới",80000,300000,low,
elec_012,Sửa điện,Thiết bị điện bị phóng sét / Sét đánh,"sét đánh,phóng sét,thiết bị hỏng do sét,cháy thiết bị","Thiết bị điện bị hỏng sau khi có sét, cầu dao nhảy khi trời mưa, khói từ thiết bị","Ngắt tất cả thiết bị khỏi nguồn điện khi có sét",300000,2000000,high,⚠️ Kiểm tra thiết bị trước khi dùng lại
water_001,Sửa nước,Vòi nước bị rỉ nhỏ giọt,"vòi nước,rỉ nước,chảy nước,nhỏ giọt,vòi hỏng,vòi rò rỉ,rỉ vòi,ống nước rò rỉ,vòi nước nhỏ giọt","Vòi nhỏ giọt liên tục dù đã vặn chặt, khó vặn, chảy nước từ phần nối vòi","Tắt van nước tổng của khu vực đó, lau khô sàn tránh trơn trượt",80000,300000,low,
water_002,Sửa nước,Bồn cầu bị tắc không xả nước,"bồn cầu,toilet,tắc,ngập,không xả được,bồn cầu hỏng,xí bệt,bồn cầu trào,nhà vệ sinh tắc","Xả nước không thoát, nước tràn ra sàn, có mùi hôi, nghe tiếng ục ục khi xả","Ngắt van cấp nước vào toilet ngay, không xả thêm nước, tránh tiếp xúc với nước thải",150000,500000,medium,
water_003,Sửa nước,Ống nước bị vỡ thủng rò,"ống nước,vỡ ống,nước phun,thấm tường,rò rỉ ống,ống nước bể,ống nứt,rò rỉ,nước rò","Nước phun mạnh, tường ẩm hoặc thấm nước, đồng hồ nước tăng nhanh dù không dùng","ĐÓNG VAN TỔNG ngay lập tức để tránh lãng phí nước và hư hại tường",200000,1500000,high,⚠️ Đóng van tổng NGAY để tránh hư hỏng công trình
water_004,Sửa nước,Bồn cầu chạy nước liên tục,"bồn cầu chạy,nước chạy liên tục,xả không ngừng,phao bồn cầu,tốn nước,nghe nước chảy bồn cầu","Nghe tiếng nước chảy liên tục trong bồn cầu dù không ai sử dụng, đồng hồ nước tăng","Ngắt van nước vào bồn cầu tạm thời để tiết kiệm nước",100000,350000,low,
water_005,Sửa nước,Chậu rửa bát Lavabo tắc cống,"chậu rửa bát,lavabo,tắc cống,nước không thoát,cống tắc,chậu rửa tắc,bồn rửa tay tắc","Nước thoát rất chậm hoặc không thoát, có mùi hôi từ cống","Thử thông bằng dây thông cống hoặc dùng nước sôi pha muối nở",100000,400000,low,
water_006,Sửa nước,Máy bơm nước không hoạt động,"máy bơm nước,bơm không chạy,không lên nước,bơm hỏng,áp suất yếu,bơm nước hỏng","Máy bơm không chạy, chạy nhưng không lên nước, áp lực yếu, bơm nổ cầu dao","Kiểm tra điện vào máy bơm, kiểm tra van và đường ống trước khi gọi thợ",300000,1200000,medium,
water_007,Sửa nước,Vòi sen bị hỏng không ra nước,"vòi sen,vòi hoa sen,không ra nước,vòi sen yếu,shower hỏng","Vòi sen ra nước yếu, không ra nước, nước chảy không đều các lỗ","Kiểm tra bộ lọc vòi sen có bị tắc không, tháo ra ngâm giấm để thông",100000,400000,low,
water_008,Sửa nước,Bể nước bị rò thấm nước,"bể nước,rò bể,thấm bể,bể nứt,tường ẩm bể nước","Tường quanh bể nước bị ẩm thấm, bể giảm nước nhanh dù không dùng","Gọi thợ kiểm tra và trám chống thấm bể",500000,3000000,medium,
water_009,Sửa nước,Lắp đặt thiết bị vệ sinh mới,"lắp bồn cầu,lắp lavabo,lắp vòi nước,thiết bị vệ sinh mới","Cần lắp bồn cầu, chậu rửa hoặc vòi nước mới thay thế","Chuẩn bị đầy đủ thiết bị và phụ kiện kèm theo trước khi gọi thợ",300000,1500000,low,
water_010,Sửa nước,Hệ thống cấp nước không đủ áp lực,"áp lực nước yếu,nước yếu,nước chảy yếu,nhà tầng cao thiếu nước,thiếu áp nước","Nước ra yếu đặc biệt tầng cao, buổi sáng thiếu nước, không đủ nước dùng","Kiểm tra van tổng có mở hết không, bồn chứa có đủ nước không",500000,5000000,medium,
water_011,Sửa nước,Bồn tắm bị tắc cống,"bồn tắm,bathtub,tắc bồn tắm,nước bồn tắm không thoát","Nước trong bồn tắm thoát rất chậm, bồn đầy nước sau khi dùng","Kiểm tra và lấy tóc tắc trong ống thoát bồn tắm",100000,400000,low,
water_012,Sửa nước,Đường ống nước bị đóng cặn vôi,"đóng cặn,cặn vôi,ống bị tắc dần,nước ngày càng yếu,cặn canxi","Nước chảy ngày càng yếu dù không có vật cản, cặn trắng trên các thiết bị","Gọi thợ súc rửa đường ống bằng hóa chất chuyên dụng",400000,2000000,low,
ac_001,Sửa điều hòa,Điều hòa không mát kém lạnh,"điều hòa,máy lạnh,không mát,kém lạnh,thiếu gas,lạnh yếu,điều hòa yếu,lạnh không đủ","Máy chạy nhưng không đủ lạnh, phòng lâu mát dù để nhiệt độ thấp, dàn lạnh không đóng tuyết","Kiểm tra và vệ sinh bộ lọc (filter) bẩn trước - có thể tự làm được",200000,700000,low,
ac_002,Vệ sinh máy lạnh,Vệ sinh điều hòa định kỳ,"vệ sinh máy lạnh,rửa máy lạnh,mùi hôi điều hòa,bụi bẩn điều hòa,vệ sinh điều hòa,nấm mốc máy lạnh,bảo dưỡng điều hòa","Mùi hôi nấm mốc khi bật máy, bụi bám nhiều trên lưới lọc, máy chạy nặng hơn bình thường","Tắt máy và vệ sinh filter lưới lọc hàng tháng - có thể tự làm được",150000,400000,low,
ac_003,Sửa điều hòa,Điều hòa không bật mất nguồn,"không bật,không lên,mất nguồn,remote không điều khiển được,điều hòa chết,không khởi động,điều hòa tắt","Bấm remote không phản hồi, đèn máy không sáng, máy hoàn toàn không hoạt động","Thử thay pin remote trước, kiểm tra ổ cắm có điện không",200000,900000,medium,
ac_004,Sửa điều hòa,Điều hòa chảy nước nhỏ giọt,"điều hòa chảy nước,máy lạnh nhỏ giọt,nước chảy từ điều hòa,rỉ nước dàn lạnh,điều hòa chảy nước vào nhà","Nước nhỏ giọt từ dàn lạnh trong nhà, sàn nhà bị ướt, tường bị ẩm mốc bên dưới máy","Kiểm tra ống thoát nước condensate có bị tắc không, vệ sinh máng hứng nước",150000,400000,low,
ac_005,Sửa điều hòa,Nạp gas điều hòa thiếu gas,"nạp gas,bơm gas,thiếu gas điều hòa,gas điều hòa,hết gas,bổ sung gas","Máy lạnh kém lạnh, dàn lạnh đóng tuyết ở đầu, nhiệt độ không xuống theo cài đặt","Gọi thợ có thiết bị đo áp suất gas chuyên dụng, không tự nạp gas",250000,600000,medium,
ac_006,Sửa điều hòa,Dàn nóng block ngoài hỏng,"dàn nóng,block ngoài,quạt dàn nóng,máy nén hỏng,compressor,dàn nóng không chạy","Dàn nóng bên ngoài không quay, máy nén kêu to, block ngoài không chạy dù máy bật","Gọi thợ điện lạnh chuyên nghiệp, không tự tháo dàn nóng",500000,3000000,high,
ac_007,Sửa điều hòa,Điều hòa kêu to tiếng ồn lạ,"điều hòa kêu,máy lạnh kêu,tiếng ồn,rung mạnh,tiếng lạch cạch máy lạnh","Máy phát ra tiếng kêu to hoặc rung mạnh khi hoạt động, tiếng lạch cạch bất thường","Kiểm tra có vật gì rơi vào quạt dàn lạnh không, gọi thợ nếu tiếp tục",200000,800000,medium,
ac_008,Sửa điều hòa,Board mạch điều hòa hỏng,"board mạch,mạch điều hòa,mainboard,lỗi board,điều hòa báo lỗi E","Điều hòa báo lỗi liên tục trên remote, bật tắt không ổn định, chạy sai chế độ","Chụp ảnh mã lỗi trên remote gửi cho thợ để chẩn đoán",500000,2500000,medium,
ac_009,Lắp đặt điều hòa,Lắp đặt máy lạnh mới,"lắp điều hòa,lắp máy lạnh,lắp đặt điều hòa,lắp mới máy lạnh,kéo đường ống","Cần lắp điều hòa mới chưa có đường ống, cần đấu điện cho máy lạnh","Cần thợ chuyên nghiệp có thiết bị hàn đường ống đồng và hút chân không",500000,1500000,low,
ac_010,Sửa điều hòa,Remote điều hòa hỏng,"remote điều hòa,điều khiển hỏng,remote không dùng được,remote bị hỏng","Remote điều hòa không điều khiển được dù thay pin mới","Thử làm sạch mắt thu tín hiệu trên máy, mua remote thay thế",100000,350000,low,
ac_011,Sửa điều hòa,Điều hòa mất nguồn đột ngột khi đang chạy,"tự tắt,mất nguồn khi chạy,điều hòa tự tắt,tắt đột ngột","Điều hòa đang chạy tự nhiên tắt, sau đó không bật lại được, đèn báo lỗi","Kiểm tra nhiệt độ phòng quá cao, bộ lọc bẩn có thể làm máy quá nhiệt",200000,700000,medium,
fridge_001,Sửa tủ lạnh,Tủ lạnh không lạnh không đông,"tủ lạnh,không lạnh,không đông,block tủ lạnh,tủ hỏng,tủ không mát,tủ lạnh yếu","Tủ chạy nhưng bên trong không lạnh, thực phẩm nhanh hỏng, block nóng bất thường","Kiểm tra gioăng cửa có kín không, block có nóng không để thông báo thợ",300000,1000000,medium,
fridge_002,Sửa tủ lạnh,Tủ lạnh chảy nước đọng đáy,"tủ lạnh chảy nước,nước đọng đáy tủ,đóng tuyết tủ lạnh,tuyết bám,nước ra sàn tủ lạnh","Nước chảy dưới đáy tủ, đá tuyết bám nhiều ở ngăn đông, ngăn mát quá ẩm","Xả đá vệ sinh ngăn đông, kiểm tra ống thoát nước đáy tủ có bị tắc không",150000,500000,low,
fridge_003,Sửa tủ lạnh,Tủ lạnh kêu to tiếng ồn,"tủ lạnh kêu,tiếng ồn tủ lạnh,rung,tiếng lạch cạch,tủ rung mạnh,tủ lạnh ồn","Tủ phát ra tiếng kêu to, tiếng rung, tiếng lạch cạch bất thường đặc biệt ban đêm","Kiểm tra tủ có kê bằng phẳng không, có vật gì đặt lên tủ gây rung không",200000,700000,low,
fridge_004,Sửa tủ lạnh,Tủ lạnh không khởi động mất điện,"tủ lạnh không chạy,không khởi động,tủ chết,tủ không có điện,tủ lạnh tắt","Tủ lạnh hoàn toàn không hoạt động, không sáng đèn bên trong, block không chạy","Kiểm tra ổ cắm có điện không, thử cắm thiết bị khác vào ổ đó để kiểm tra",300000,1500000,medium,
fridge_005,Sửa tủ lạnh,Cửa tủ lạnh không đóng kín,"cửa tủ lạnh,gioăng cửa,cửa không kín,hở cửa tủ lạnh,tủ tốn điện nhiều","Cửa tủ không đóng kín, hơi lạnh thoát ra, tủ phải chạy nhiều hơn tốn điện","Kiểm tra gioăng cao su cửa tủ có bị mòn hở không",150000,500000,low,
fridge_006,Sửa tủ lạnh,Ngăn đá không đông đủ lạnh,"ngăn đá,không đông,kem tan,đá không cứng,ngăn đông kém","Kem và thực phẩm đông không cứng, ngăn đá ở nhiệt độ thấp vẫn không đông","Kiểm tra cài đặt nhiệt độ tủ, vệ sinh dàn lạnh ngăn đông",200000,600000,medium,
fridge_007,Sửa tủ lạnh,Tủ lạnh tốn điện quá nhiều,"tủ lạnh tốn điện,hóa đơn điện cao,tủ tiêu thụ điện nhiều","Hóa đơn điện tăng đột biến, tủ chạy liên tục không ngắt nghỉ","Kiểm tra gioăng cửa, vệ sinh dàn ngưng phía sau tủ",200000,500000,low,
fridge_008,Sửa tủ lạnh,Board điều khiển tủ lạnh hỏng,"board tủ lạnh,mạch tủ lạnh,tủ báo lỗi,lỗi hiển thị tủ lạnh","Màn hình tủ hiển thị lỗi, nhiệt độ không điều chỉnh được, tủ chạy sai chế độ",Gọi thợ chuyên tủ lạnh để kiểm tra board mạch,500000,2500000,medium,
wash_001,Sửa máy giặt,Máy giặt không thoát nước nước đọng,"máy giặt,không thoát nước,nước đọng,lỗi E,quần áo còn ướt,máy giặt tắc,máy giặt lỗi thoát nước","Máy báo lỗi E (E1 E3...), nước không thoát hết, quần áo vắt xong vẫn còn rất ướt","Vệ sinh bộ lọc xả nước ở phía dưới máy - mở nắp nhỏ phía trước có thể tự làm",150000,500000,medium,
wash_002,Sửa máy giặt,Máy giặt không vào nước thiếu nước,"không vào nước,thiếu nước,van cấp nước,lỗi nước vào,máy giặt thiếu nước,máy giặt lâu đầy nước","Máy không lấy đủ nước vào, lâu đầy hoặc không vào nước, báo lỗi thiếu nước","Kiểm tra van nước đầu vào có mở hết không, vòi nước có đủ áp lực không",200000,600000,medium,
wash_003,Sửa máy giặt,Máy giặt không vắt lồng không quay,"không vắt,lồng không quay,quần áo ướt sau vắt,lồng đứng,máy giặt không vắt","Máy chạy nhưng lồng không quay hoặc quay yếu, quần áo sau giặt vẫn rất ướt","Kiểm tra quần áo có nhét quá đầy không, phân bổ đều quần áo trong lồng",300000,800000,medium,
wash_004,Vệ sinh máy giặt,Vệ sinh lồng máy giặt khử mùi,"vệ sinh máy giặt,mùi hôi máy giặt,lồng giặt bẩn,nấm mốc máy giặt,tub clean","Quần áo sau giặt có mùi hôi, lồng giặt có cặn đen, nấm mốc trong lồng","Chạy chế độ Tub Clean vệ sinh lồng định kỳ mỗi tháng",150000,350000,low,
wash_005,Sửa máy giặt,Máy giặt rò nước chảy ra ngoài,"máy giặt rò nước,nước chảy ra sàn,máy giặt bị rò,nước thấm từ máy giặt","Nước chảy ra dưới gầm máy giặt khi đang giặt, sàn nhà ướt xung quanh máy","Tắt máy và ngắt nước cấp ngay, lau khô sàn tránh trơn trượt",200000,700000,medium,
wash_006,Sửa máy giặt,Máy giặt kêu to rung mạnh,"máy giặt kêu,rung mạnh,tiếng ồn máy giặt,máy giặt rung nhiều","Máy phát tiếng kêu to lúc vắt, rung lắc mạnh, có thể di chuyển ra khỏi vị trí","Kiểm tra máy đặt bằng phẳng, quần áo phân bổ đều trong lồng",200000,600000,low,
wash_007,Sửa máy giặt,Máy giặt không bật không khởi động,"máy giặt không bật,không khởi động máy giặt,máy giặt chết","Nhấn nút nguồn nhưng máy không phản hồi, màn hình tối, không có tiếng bíp","Kiểm tra ổ cắm điện, kiểm tra nắp máy đã đóng kín chưa",200000,800000,medium,
wash_008,Sửa máy giặt,Cửa máy giặt bị kẹt không mở,"cửa máy giặt kẹt,không mở cửa máy giặt,khóa cửa máy giặt,cửa lồng ngang","Sau khi giặt cửa máy không mở được, bị khóa dù chu kỳ đã xong","Chờ 3-5 phút sau khi kết thúc chu kỳ, thử ngắt điện 30 giây rồi bật lại",200000,600000,low,
tv_001,Sửa TV,TV không lên hình màn hình đen,"TV,tivi,không lên hình,màn hình đen,không hiển thị,tivi hỏng,tivi tắt hình","Bật TV nhưng màn hình đen, có tiếng nhưng không có hình, hoặc đèn nguồn nhấp nháy","Kiểm tra cáp nguồn, thử tắt bật nguồn điện hoàn toàn, kiểm tra cáp HDMI",300000,1500000,low,
tv_002,Sửa TV,TV Smart bị lag treo máy,"tivi lag,tivi treo,android tv,smart tv chậm,tivi đơ,remote không điều khiển,ứng dụng lỗi","TV phản hồi chậm, ứng dụng bị treo, remote không điều khiển được dù pin còn","Thử khởi động lại TV, xóa cache ứng dụng trong Settings",200000,800000,low,
tv_003,Sửa TV,Màn hình TV bị sọc vỡ màn,"sọc màn hình,màn hình sọc,vỡ màn,màn hình tivi sọc,bị sọc,lỗi màn hình","Màn hình xuất hiện các sọc dọc ngang, màu sắc bị lệch, một phần màn hình tối","Không đập hoặc nhấn mạnh vào màn hình, gọi thợ chuyên TV",800000,4000000,low,
tv_004,Sửa TV,TV không có tiếng mất âm thanh,"không có tiếng,mất tiếng,âm thanh tivi,loa tv hỏng,tivi câm","Hình ảnh bình thường nhưng không có âm thanh, tăng volume tối đa vẫn không nghe","Kiểm tra cài đặt âm thanh, thử cắm tai nghe xem có tiếng không",200000,800000,low,
tv_005,Sửa TV,TV bị giật hình chất lượng xấu,"giật hình,hình ảnh kém,pixel hóa,tivi giật lag hình ảnh","Hình ảnh bị giật cách quãng, pixel hóa đặc biệt khi xem trực tiếp","Kiểm tra tín hiệu anten hoặc đường truyền internet nếu xem streaming",200000,600000,low,
tv_006,Sửa TV,Cổng HDMI TV bị hỏng,"HDMI hỏng,cổng HDMI,không nhận HDMI,kết nối HDMI lỗi","Cắm cáp HDMI vào TV nhưng không nhận tín hiệu, thử nhiều cáp HDMI vẫn lỗi","Thử đổi sang cổng HDMI khác trên TV trước khi kết luận cổng hỏng",300000,1000000,low,
heater_001,Sửa máy nước nóng,Máy nước nóng không ra nước nóng,"máy nước nóng,không ra nước nóng,nước lạnh,bình nóng lạnh,nước không nóng,bình nước nóng hỏng","Bật máy nhưng nước vẫn lạnh, nước chỉ ấm không nóng, đèn báo hoạt động nhưng nước lạnh","Kiểm tra đã bật nguồn máy chưa, van nước nóng đã mở chưa",200000,700000,medium,
heater_002,Sửa máy nước nóng,Máy nước nóng rỉ nước chảy nước,"máy nước nóng rỉ,bình nóng lạnh rỉ,chảy nước bình,rỉ nước bình nóng,bình nóng rò","Nước chảy xung quanh thân bình, tường ẩm quanh bình nóng lạnh, van xả rỉ nước","Ngắt điện máy và đóng van cấp nước vào bình ngay",150000,500000,medium,⚠️ Ngắt điện TRƯỚC rồi mới đóng van nước
heater_003,Sửa máy nước nóng,Máy nước nóng nổ cầu dao điện,"máy nước nóng nhảy cầu dao,nổ điện bình nóng,chập điện bình nóng,bình nóng lạnh trip điện","Cắm điện bình nóng lạnh thì nhảy cầu dao ngay, điện trở bị chập","Không tiếp tục cắm vào điện, gọi thợ sửa điện lạnh",200000,600000,high,⚠️ NGUY HIỂM ĐIỆN GIẬT - Không tự sửa
heater_004,Sửa máy nước nóng,Thay dây điện trở bình nóng lạnh,"dây điện trở,điện trở hỏng,thay điện trở bình,không đun được","Bình cắm điện nhưng nước không nóng dù máy bơm hoạt động, điện trở đứt","Gọi thợ có dụng cụ đo điện trở để kiểm tra chính xác",150000,400000,medium,
heater_005,Sửa máy nước nóng,Cài đặt nhiệt độ bình nóng lạnh lỗi,"nhiệt độ bình,cài nhiệt,bình không giữ nhiệt,mất nhiệt nhanh","Bình đun xong nhưng nước nguội rất nhanh, cảm biến nhiệt độ lỗi","Kiểm tra cài đặt nhiệt độ, vệ sinh cảm biến nhiệt",150000,500000,low,
micro_001,Sửa lò vi sóng,Lò vi sóng không nóng không chạy,"lò vi sóng,microwave,không nóng,lò vi sóng hỏng,không chạy,vi sóng không hoạt động","Bật lò nhưng thức ăn không nóng, bàn xoay không quay, lò không hoạt động","Không cố sửa lò vi sóng - bên trong có tụ điện nguy hiểm dù đã ngắt điện",300000,1000000,low,⚠️ Không tự mở lò vi sóng - nguy hiểm điện cao áp
micro_002,Sửa lò nướng,Lò nướng hỏng không đạt nhiệt độ,"lò nướng,oven,không đủ nhiệt,lò hỏng,thanh nhiệt đứt,lò nướng bánh","Lò nướng không đạt nhiệt độ cài đặt, thức ăn chín không đều, thanh nhiệt không đỏ","Ngắt điện lò, để nguội hoàn toàn trước khi kiểm tra",200000,800000,low,
rice_001,Sửa nồi cơm điện,Nồi cơm điện không nấu chín,"nồi cơm điện,cơm không chín,nồi cơm hỏng,không nhảy sang ủ,nồi điện,cơm sống","Cơm nấu nhưng không chín đều, nồi không tự chuyển sang chế độ ủ, cơm bị sống","Kiểm tra đáy nồi và mâm nhiệt có dính cơm không, vệ sinh sạch trước khi dùng",100000,400000,low,
stove_001,Sửa bếp từ,Bếp từ không nhận nồi báo lỗi,"bếp từ,induction,không nhận nồi,bếp từ lỗi,bếp từ hỏng,bếp điện từ,bếp từ báo lỗi","Bếp báo lỗi E1 E2, không nhận nồi dù đã đặt đúng, mặt kính bị nứt","Kiểm tra nồi có tương thích từ không - dùng nam châm thử đáy nồi",300000,1200000,low,
stove_002,Sửa bếp gas,Bếp gas không bắt lửa,"bếp gas,không bắt lửa,bếp gas hỏng,ga không ra,bật bếp không lên","Bấm bật bếp nhưng không bắt lửa, nghe tiếng tíc tíc nhưng không lên lửa","Kiểm tra bình gas có còn gas không, vòi gas có mở không",100000,350000,medium,⚠️ Kiểm tra rò gas bằng nước xà phòng trước
stove_003,Sửa bếp gas,Rò gas nghi ngờ rò gas,"rò gas,rò khí,mùi gas,ngửi thấy gas,gas rò","Ngửi thấy mùi gas trong bếp dù không bật bếp, mùi hắc đặc trưng","Mở cửa sổ ngay, đóng van bình gas tổng, KHÔNG bật bất kỳ công tắc điện nào",200000,500000,high,⚠️ NGUY HIỂM CHÁY NỔ - Không bật điện - Gọi thợ gas ngay
stove_004,Sửa bếp từ,Mặt kính bếp từ bị nứt vỡ,"mặt kính bếp,kính bếp từ nứt,vỡ mặt bếp,nứt bếp từ","Mặt kính bếp từ bị nứt hoặc vỡ sau va chạm hoặc sốc nhiệt","Không sử dụng bếp khi mặt kính bị nứt - nguy cơ điện giật",800000,3000000,high,⚠️ Không dùng bếp có kính nứt - nguy cơ điện giật
fan_001,Sửa quạt điện,Quạt điện không quay quạt chết,"quạt,quạt điện,không quay,quạt hỏng,quạt chết,quạt không chạy,quạt đứng","Cắm điện nhưng quạt không quay, quạt quay rất chậm hoặc phát tiếng ồn khi chạy","Kiểm tra có vật gì kẹt trong cánh quạt không trước khi gọi thợ",80000,300000,low,
fan_002,Sửa quạt trần,Quạt trần không quay chạy yếu,"quạt trần,không quay,quạt trần hỏng,quạt trần yếu,quạt trần kêu,trần nhà","Quạt trần không chạy khi bật công tắc, chạy rất chậm không đủ gió, phát tiếng kêu to","Ngắt điện công tắc quạt, kiểm tra tụ điện quạt trần có thể bị hỏng",100000,400000,low,
fan_003,Sửa quạt điều hòa,Quạt thông gió nhà tắm hỏng,"quạt thông gió,quạt nhà tắm,quạt hút mùi,không hút gió","Quạt thông gió nhà tắm không chạy, hút gió yếu, có tiếng kêu lạ","Kiểm tra xem quạt có bị bụi bẩn tắc không",80000,300000,low,
hood_001,Sửa máy hút mùi,Máy hút mùi không hút hút yếu,"máy hút mùi,không hút,hút yếu,máy hút bếp,hút khói yếu,máy hút khói bếp","Máy chạy nhưng hút mùi rất yếu, mùi khói vẫn lan ra bếp dù máy bật","Vệ sinh lưới lọc dầu mỡ thường xuyên - ngâm nước sôi có thể tự làm",150000,500000,low,
hood_002,Sửa máy hút mùi,Đèn máy hút mùi hỏng,"đèn hút mùi,đèn bếp,bóng đèn hút mùi","Đèn chiếu sáng trên máy hút mùi bị hỏng không sáng","Thay bóng đèn phù hợp với model máy hút mùi của bạn",50000,200000,low,
lock_001,Sửa khóa cửa,Khóa cửa bị hỏng không mở được,"khóa cửa,khóa hỏng,không mở được,chìa khóa gãy,khóa bị kẹt,cửa không mở","Chìa khóa không quay được, khóa bị kẹt cứng, chìa khóa bị gãy trong ổ khóa","Không cố dùng sức bẻ chìa, gọi thợ khóa chuyên nghiệp",150000,500000,medium,
lock_002,Sửa khóa cửa,Lắp khóa điện từ khóa thẻ từ,"khóa điện từ,khóa thẻ,khóa vân tay,lắp khóa điện,khóa cửa điện tử","Cần lắp khóa điện từ hoặc khóa vân tay thay thế khóa thường","Đo kích thước cửa và chọn model khóa phù hợp trước khi gọi thợ",500000,3000000,low,
paint_001,Sơn sửa nhà,Tường bị nứt sơn bong tróc,"tường nứt,sơn bong,tường bong tróc,sơn nứt,tường bị rêu","Tường nhà bị nứt chân chim, sơn bong tróc, mốc xanh xuất hiện trên tường","Vệ sinh tường, chờ khô hoàn toàn trước khi sơn lại",200000,800000,low,
internet_001,Sửa mạng internet,Mạng wifi chậm không ổn định,"wifi chậm,mạng chậm,không có internet,wifi mất,mạng không ổn định,wifi yếu","Mạng wifi chập chờn, tốc độ chậm, một số thiết bị không kết nối được","Thử khởi động lại modem router, kiểm tra đèn trạng thái trên modem",100000,400000,low,
cctv_001,Lắp đặt camera,Lắp camera giám sát CCTV,"lắp camera,camera an ninh,cctv,camera nhà,camera quan sát","Cần lắp camera an ninh giám sát cho nhà hoặc văn phòng","Xác định số lượng camera và vị trí cần lắp trước khi gọi thợ",500000,5000000,low,
